Name,Price,Liquor Type
CORONA EXTRA BEER 355ML (4.5%),KSh450.00,Beers
ATLAS 16% 500ML(16%),KSh380.00,Beers
DESPERADOS 330ML(5.9%),KSh370.00,Beers
HEINEKEN CAN 500ML(5%),KSh360.00,Beers
BAVARIA BLUE 8.6 ORIGINAL 500ML(8.6%),KSh350.00,Beers
O.J. BEER 500ML(16%),KSh330.00,Beers
SAVANNA ANGRY LEMON 330ML(6%),KSh320.00,Beers
HEINEKEN BOTTLE 330ML(5%),KSh340.00,Beers
TUSKER LITE CAN 500ML(4%),KSh300.00,Beers
FAXE 10% EXTRA 500 ML(10%),KSh320.00,Beers
WHITE CAP CRISP 330ML(3%),KSh350.00,Beers
TUSKER MALT CAN 500ML(5%),KSh260.00,Beers
WHITE CAP CAN 500ML(4.2%),KSh280.00,Beers
GUINNESS CAN 500 ML(6.5%),KSh300.00,Beers
BALOZI LAGER 500ML(4.2%),KSh250.00,Beers
CHEZ GUERILLA 340ML(9%),KSh250.00,Beers
HEINEKEN ZERO 330ML (0%),KSh250.00,Beers
PILSNER CAN 500ML(4.5%),KSh250.00,Beers
BILA SHAKA 340ML(6.5%),KSh240.00,Beers
TUSKER CAN 500ML(4.2%),KSh240.00,Beers
HOLLANDIA 500ML(5%),KSh230.00,Beers
DIRTY HAIRY 340ML(5%),KSh230.00,Beers
ATLAS 12% 500ML(12%),KSh220.00,Beers
BAVARIA NON-ALCOHOLIC GINGER & LIME 500ML (0.0%),KSh200.00,Beers
BAVARIA NON-ALCOHOLIC MANGO PASSION 500ML (0.0%),KSh220.00,Beers
BAVARIA NON ALCOHOLIC 500ML(0.0%),KSh200.00,Beers
BAVARIA NON-ALCOHOLIC APPLE 500ML(0.0%),KSh220.00,Beers
JUA KALI 340ML(4.6%),KSh190.00,Beers
COOLBERG PEACH 330ML(0.0%),KSh180.00,Beers
COOLBERG STRAWBERRY 330ML(0.0%),KSh180.00,Beers
COOLBERG MALT 330ML(0.0%),KSh180.00,Beers
COOLBERG CRANBERRY 330ML(0.0%),KSh180.00,Beers
COOLBERG GINGER 330ML(0.0%),KSh180.00,Beers
COOLBERG MINT 330ML(0.0%),KSh180.00,Beers
