Name,Price,Liquor Type
ST REMY XO 750ML(40%),"KSh3,750.00",Brandy
VICEROY 10 YEARS BRANDY 750ML(40%),"KSh4,000.00",Brandy
VICEROY 10 YEARS BRANDY 750ML(40%) + HOODIE,"KSh3,720.00",Brandy
VICEROY 10 YEARS BRANDY 750ML(40%) + A FREE BRANDED GLASSES,"KSh3,700.00",Brandy
KWV 12YRS BRANDY 750ML(38%),"KSh4,100.00",Brandy
KWV BRANDY 10YRS 750ML(38%),"KSh2,950.00",Brandy
BEEHIVE BRANDY VSOP 1LTR (40%),"KSh2,400.00",Brandy
BEEHIVE HONEY BRANDY 1LTR (42.5%),"KSh2,400.00",Brandy
ST REMY VSOP 750ML(40%),"KSh2,350.00",Brandy
BARDINET VSOP BRANDY 1LTR(36%),"KSh2,000.00",Brandy
DON MONTEGO 750ML(40%),"KSh1,900.00",Brandy
BARDINET VSOP BRANDY 750ML(36%),"KSh1,900.00",Brandy
THREE BARRELS 1LTR(38%),"KSh1,850.00",Brandy
KWV BRANDY 5 YEARS 750ML(43%),"KSh2,100.00",Brandy
TORRES SOLERA 10YRS 700ML(38%),"KSh1,700.00",Brandy
Kyron Premium Brandy 750ml(40%),"KSh1,700.00",Brandy
TORRES SOLERA 5YRS 700ML(38%),"KSh1,670.00",Brandy
RICHOT 750ML(40%),"KSh1,550.00",Brandy
VICEROY 5 YEARS BRANDY 750ML(40%),"KSh1,530.00",Brandy
JP CHENET GRANDE NOBLESS 700ML(36%),"KSh1,430.00",Brandy
THREE BARRELS VSOP 750ML(38%),"KSh1,350.00",Brandy
OUDE MEESTER 750ML(43%),"KSh1,250.00",Brandy
DON MONTEGO 500ML(40%),"KSh1,200.00",Brandy
OUDE MEESTER 375ML(43%),"KSh1,000.00",Brandy
MUSKETEER BRANDY 750ML(40%),KSh800.00,Brandy
COUNTY BRANDY 750ML(40%),KSh790.00,Brandy
VICEROY 5 YEARS BRANDY 350ML(40%),KSh770.00,Brandy
NAPOLEON CROWN BRANDY 750ML(37.5%),KSh750.00,Brandy
RICHOT 350ML(40%),KSh720.00,Brandy
KWV NOBLEMAN RESERVE BRANDY 750ML(40%),KSh700.00,Brandy
NAPOLEON GOLD BRANDY 750ML(37.5%),KSh680.00,Brandy
XTRA ORDINARY BRANDY 750ML(37.5%),KSh600.00,Brandy
THREE BARRELS 350ML(38%),KSh500.00,Brandy
