Name,Price,Liquor Type
DOM PERIGNON 750ML (12.5%),"KSh47,600.00",Champagne
VEUVE CLICQUOT YELLOW LABEL NAKED 750ML(12%),"KSh15,000.00",Champagne
MOET & CHANDON ROSE IMPERIAL 750ML(12%),"KSh13,200.00",Champagne
MOET & CHANDON NECTAR IMPERIAL ROSE 750ML(12.5%),"KSh11,650.00",Champagne
MOET & CHANDON IMPERIAL BRUT 750ML(12%),"KSh11,000.00",Champagne
VEUVE CLICQUOT ROSE 750ML(12.5%),"KSh10,500.00",Champagne
MOET & CHANDON NECTAR IMPERIAL 750ML(12%),"KSh10,500.00",Champagne
VEUVE CLICQUOT BRUT 750ML(12%),"KSh9,700.00",Champagne
GH MUMM ROSE CHAMPAGNE 750ML(12%),"KSh8,500.00",Champagne
G.H. MUMM CORDON ROUGE CHAMPAGNE 750ML(17%),"KSh7,500.00",Champagne
MOET ROSE ICE DEMI SEC 750ML(12%),"KSh7,300.00",Champagne
GH MUMM DEMI SEC CHAMPAGNE 750ML(12%),"KSh7,000.00",Champagne
PIPER HEIDSIECK 750ML(12%),"KSh5,000.00",Champagne
