Name,Price,Liquor Type
HENNESSY PARADIS 700ML(40%),"KSh249,000.00",Cognac
HENNESSY XO 700ML(40%),"KSh41,400.00",Cognac
RÉMY MARTIN XO 700ML(40%),"KSh37,500.00",Cognac
MARTELL XO 700ML(40%),"KSh35,100.00",Cognac
COURVOISIER XO 700ML(40%),"KSh22,500.00",Cognac
BISQUIT XO 700ML(40%),"KSh18,750.00",Cognac
HENNESSY VSOP 1LTR(40%),"KSh16,200.00",Cognac
MARTELL CORDON BLEU 750ML(40%),"KSh16,000.00",Cognac
MARTELL VSOP 1 LITRE(40%),"KSh12,800.00",Cognac
REMY MARTIN VSOP 1 LITRE(40%),"KSh10,850.00",Cognac
HENNESSY VSOP 700ML(40%),"KSh12,000.00",Cognac
MARTELL BLUE SWIFT 700ML(40%),"KSh10,450.00",Cognac
COURVOISIER VSOP 1 LITRE(40%),"KSh10,000.00",Cognac
REMY MARTIN VSOP 700ML(40%),"KSh10,400.00",Cognac
CAMUS VSOP COGNAC 1LTR(40%),"KSh9,400.00",Cognac
COURVOISIER VS 1LTR(40%),"KSh9,100.00",Cognac
HENNESSY VS 1LTR(40%),"KSh10,000.00",Cognac
MARTELL VSOP 700ML(40%),"KSh9,600.00",Cognac
DUSSE VSOP 750ML(40%),"KSh8,800.00",Cognac
MARTELL VS 1 LITRE(40%),"KSh7,900.00",Cognac
CAMUS VSOP COGNAC 700ML(40%),"KSh7,750.00",Cognac
COURVOISIER VSOP 700ML(40%),"KSh7,200.00",Cognac
REMY MARTIN PRIME CELLAR SELECTION NO 16 1LTR(40%),"KSh7,000.00",Cognac
MARTELL VS 700ML(40%),"KSh7,200.00",Cognac
HENNESSY VS 700ML(40%),"KSh6,250.00",Cognac
BISQUIT VSOP 700ML(40%),"KSh6,000.00",Cognac
COURVOISIER VS 700ML(40%),"KSh5,900.00",Cognac
HENNESSY VS NBA LIMITED EDITION 700ML(40%),"KSh5,750.00",Cognac
MARTELL VSSD 700ML(40%),"KSh4,650.00",Cognac
BISQUIT CLASSIQUE VS 700ML(40%),"KSh4,050.00",Cognac
HENNESSY VS 375ML(40%),"KSh2,700.00",Cognac
