Name,Price,Liquor Type
HENDRICK’S GIN 1LTR(41.4%),"KSh8,300.00",Gin
HENDRICK’S GIN 700ML(41.4%),"KSh6,700.00",Gin
VICTORIA’S STAG GIN 750ML(43%),"KSh5,650.00",Gin
TANQUERAY NO. TEN 1LTR (47.3%),"KSh5,500.00",Gin
ROKU GIN 700ML(43%),"KSh5,000.00",Gin
GIN MARE MEDITERRANEAN GIN 700ML(42.7%),"KSh5,000.00",Gin
TANQUERAY NO. TEN 750ML (47.3%),"KSh4,950.00",Gin
MERMAID PINK GIN 700ML(38%),"KSh4,800.00",Gin
THE BOTANIST 1 LITRE(46%),"KSh4,800.00",Gin
MERMAID GIN 700ML(42%),"KSh4,800.00",Gin
THE BOTANIST 700ML(46%),"KSh4,550.00",Gin
CUBICAL DRY GIN 700ML(40%),"KSh4,500.00",Gin
TANQUERAY LONDON DRY GIN 1LTR(47.3%),"KSh4,400.00",Gin
TANQUERAY RANGPUR LIME DISTILLED GIN 1LTR(41.3%),"KSh4,000.00",Gin
TANQUERAY SEVILLA 1L(41.3%),"KSh3,900.00",Gin
BULLDOG GIN 700ML(40%),"KSh4,000.00",Gin
BOMBAY SAPPHIRE 1 LITRE(47%),"KSh3,400.00",Gin
TANQUERAY LONDON DRY GIN 750ML(47.3%),"KSh3,500.00",Gin
BOMBAY SAPPHIRE 750ML(47%),"KSh3,000.00",Gin
TANQUERAY RANGPUR LIME DISTILLED GIN 700ML(41.3%),"KSh3,000.00",Gin
TANQUERAY SEVILLA 700ML (41.3%),"KSh3,100.00",Gin
TANQUERAY ROYALE 700ML(47.3%),"KSh2,900.00",Gin
GORDONS DRY GIN 1LTR(37.5%),"KSh2,800.00",Gin
BEEFEATER GIN 1 LITRE(40%),"KSh2,800.00",Gin
BEEFEATER PINK GIN 750ML(37.5%),"KSh2,750.00",Gin
GILBEYS GIN 1L(40%),"KSh2,750.00",Gin
BEEFEATER GIN 750ML(40%),"KSh2,500.00",Gin
GORDON’S DRY GIN 750ML(43%),"KSh2,350.00",Gin
GORDON’S SICILIAN LEMON 700ML(37.5%),"KSh2,300.00",Gin
GORDONS PINK 700ML(37.5%),"KSh2,250.00",Gin
BOMBAY DRY GIN 750ML(40%),"KSh2,250.00",Gin
GIBSON’S PINK GIN 700ML(37.5%),"KSh1,850.00",Gin
GIBSON’S GIN 700ML(37.5%),"KSh1,550.00",Gin
GILBEYS PINK GIN 750ML(37.7%),"KSh1,530.00",Gin
GILBEYS GIN 750ML (40%),"KSh1,700.00",Gin
BLEU D’ARGENT GIN 700ML(40%),"KSh1,450.00",Gin
ROSE D’ARGENT STRAWBERRY GIN 700ML(40%),"KSh1,420.00",Gin
STRETTON’S DRY GIN 750ML(43%),"KSh1,085.00",Gin
KENSINGTON LONDON DRY GIN 750ML(43%),"KSh1,050.00",Gin
KING ROBERT II GIN 750ML(37.5%),KSh950.00,Gin
GORDONS DRY GIN 350ML(37.5%),"KSh1,050.00",Gin
BEST LONDON DRY GIN 750ML(40%),"KSh1,000.00",Gin
CARIBIA GIN 750ML(40%),KSh890.00,Gin
CARIBIA GIN 750ML(40%) + MIXER 500ML,KSh890.00,Gin
Larios London Dry Gin 750ml(37.5%),KSh800.00,Gin
CHROME GIN 750ML(40%),KSh750.00,Gin
GILBEYS PINK GIN 350ML(37.7%),KSh700.00,Gin
MERACKI CITRUS GIN 750ML(40%),KSh650.00,Gin
