Name,Price,Liquor Type
PATRON XO CAFE 1LTR(35%),"KSh12,000.00",Liqueur
PATRON XO CAFE 750ML(35%),"KSh10,400.00",Liqueur
SHERIDAN’S 1LTR(15.5%),"KSh6,000.00",Liqueur
DRAMBUIE 1LTR(40%),"KSh5,000.00",Liqueur
GRAND MARNIER 1LTR(40%),"KSh5,000.00",Liqueur
DRAMBUIE 15 YEARS 750ML(43%),"KSh5,000.00",Liqueur
JACK DANIEL’S HONEY 1 LITRE(35%),"KSh4,800.00",Liqueur
JAGERMEISTER 1LTR(35%),"KSh4,570.00",Liqueur
COINTREAU 1LTR(40%),"KSh4,500.00",Liqueur
JACK DANIEL’S HONEY 700ML(35%),"KSh4,500.00",Liqueur
DRAMBUIE 750ML(40%),"KSh4,400.00",Liqueur
AMARETTO DISARONNO LIQUER 1LTR(28%),"KSh4,000.00",Liqueur
GRAND MARNIER 700ML(40%),"KSh4,000.00",Liqueur
TIA MARIA 1LTR(20%),"KSh4,000.00",Liqueur
COINTRIEU 700ML(40%),"KSh4,000.00",Liqueur
AMARETTO DISARONNO LIQUER 700ML(28%),"KSh3,650.00",Liqueur
JAGERMEISTER 700ML(35%),"KSh3,550.00",Liqueur
BAILEYS CREAM 1 LITRE(17%),"KSh3,550.00",Liqueur
SHERIDAN’S 750ML(17%),"KSh3,500.00",Liqueur
TEQUILA ROSE 750ML(15%),"KSh3,300.00",Liqueur
AMARULA GOLD 1LTR(17%),"KSh3,200.00",Liqueur
AMARULA CREAM 1LTR(17%),"KSh3,150.00",Liqueur
BARDINET CRÈME DE CASSIS 750ML(16%),"KSh3,000.00",Liqueur
KAHLUA 1LTR(20%),"KSh3,000.00",Liqueur
KAHLUA 750ML(20%),"KSh2,960.00",Liqueur
BARDINET CRÈME DE MENTHE 750ML(25%),"KSh2,950.00",Liqueur
AMERICAN HONEY 700ML(35.5%),"KSh2,900.00",Liqueur
AMARULA VANILLA SPICE 1LTR(15.5%),"KSh2,900.00",Liqueur
"AMARULA RASPBERRY, CHOCOLATE & BAOBAB 1LTR(15.5%)","KSh2,900.00",Liqueur
BAILEYS CREAM 750ML(17%),"KSh2,850.00",Liqueur
MONIN PINEAPPLE ANANAS 1L(0%),"KSh2,800.00",Liqueur
MONIN STRAWBERRY PUREE 1L(0%),"KSh2,700.00",Liqueur
OLMECA DARK CHOCOLATE 750ML(35%),"KSh2,600.00",Liqueur
SHERIDAN’S 500ML(17%),"KSh2,400.00",Liqueur
AMARULA CREAM 750ML(17%),"KSh2,380.00",Liqueur
BUTLERS TRIPLE SEC 750ML(24%),"KSh2,350.00",Liqueur
STRAWBERRY LIPS 750ML(15.5%),"KSh2,300.00",Liqueur
AMARULA CREAM 750ML + FREE KIKOI,"KSh2,300.00",Liqueur
TIA MARIA 700ML(20%),"KSh2,300.00",Liqueur
BUTLERS BLUE CURACAO 750ML(24%),"KSh2,300.00",Liqueur
MOLLY’S IRISH CREAM 750ML,"KSh2,200.00",Liqueur
FRANGELICO HAZELNUT LIQUEUR 700ML(20%),"KSh2,150.00",Liqueur
FOUR COUSINS STRAWBERRY CREAM 750ML(17%),"KSh2,150.00",Liqueur
BOLS TRIPLE SEC 700ML(21%),"KSh1,900.00",Liqueur
BROTHERS ORIGINAL SAMBUCA 750ML (40%),"KSh1,880.00",Liqueur
BROTHERS RED SAMBUCA 750ML (40%),"KSh1,880.00",Liqueur
BROTHERS BLUE SAMBUCA 750ML (40%),"KSh1,880.00",Liqueur
BROTHERS GREEN SAMBUCA 750ML (40%),"KSh1,880.00",Liqueur
ST REMY CREME 700ML(15%),"KSh1,750.00",Liqueur
MONIN ALMOND SYRUP 750ML(0%),"KSh1,900.00",Liqueur
MONIN COCONUT SYRUP 750ML(0%),"KSh1,900.00",Liqueur
MONIN FALERNUM SYRUP 750ML (0%),"KSh1,900.00",Liqueur
MONIN VANILLA SYRUP 750ML(0%),"KSh1,700.00",Liqueur
CREMA NOBILE AL CIOCCOLATA 750ML(14%),"KSh1,650.00",Liqueur
BARDINET BLEU CURACAO 750ML(24%),"KSh1,600.00",Liqueur
BUTLERS MARULA 750ML(),"KSh1,550.00",Liqueur
BAILEYS CREAM 375ML(17%),"KSh1,450.00",Liqueur
BAILEYS DELIGHT 750ML(15%),"KSh1,400.00",Liqueur
LIMONCE 500ML(25%),"KSh1,400.00",Liqueur
8PM FIRE 750ML(35%),"KSh1,250.00",Liqueur
BEST CREAM LIQUEUR 750ML(17%),"KSh1,400.00",Liqueur
AMARULA CREAM 375ML(17%),"KSh1,100.00",Liqueur
ZANZI CREAM 750ML(17%),"KSh1,050.00",Liqueur
NEW GROVE CAFE 700ML(26%),"KSh1,000.00",Liqueur
V&A 750ML(20%),KSh950.00,Liqueur
JELZIN APPLE 750ML(16.6%),"KSh1,100.00",Liqueur
GRENADINE SYRUP 750ML(0%),KSh450.00,Liqueur
BEST CREAM 250ML(17%),KSh430.00,Liqueur
V&A 250ML(20%),KSh370.00,Liqueur
