Name,Volume,Price
Jack Daniels Tennessee Cola,                      330 ml,Ksh 460
Best whisky,                      750 ml,"Ksh 1,400"
Black & white whisky,                      750 ml,"Ksh 1,499"
William lawson,                      750 ml,"Ksh 1,800"
Sir Edwards,                      750 ml,"Ksh 1,800"
Old smuggler,                      750 ml,"Ksh 1,800"
Passport scotch,                      750 ml,"Ksh 1,800"
Teacher's,                      750 ml,"Ksh 1,800"
William lawson,                      1 litre,"Ksh 2,000"
Teacher's,                      1 litre,"Ksh 2,000"
Cutty sark,                      750 ml,"Ksh 2,000"
Bond 7,                      750 ml,"Ksh 2,000"
Vat 69,                      750 ml,"Ksh 2,299"
J&B rare,                      750 ml,"Ksh 2,399"
Johnnie walker red label,                      750 ml,"Ksh 2,400"
John Barr,                      750 ml,"Ksh 2,499"
Claymore blended scotch whisky,                      750 ml,"Ksh 2,499"
Glen silvers,                      750 ml,"Ksh 2,499"
The famous grouse,                      750 ml,"Ksh 2,499"
John Bannerman's,                      750 ml,"Ksh 2,500"
Firewater cinnamon,                      750 ml,"Ksh 2,500"
Whyte & mackay,                      750 ml,"Ksh 2,500"
Ballantines,                      750 ml,"Ksh 2,599"
Vat 69,                      1 litre,"Ksh 2,599"
Grants,                      750 ml,"Ksh 2,799"
The famous grouse,                      1 litre,"Ksh 2,799"
Johnnie walker red label,                      1 litre,"Ksh 2,799"
J&B rare,                      1 litre,"Ksh 2,799"
The famous grouse smoky black,                      750 ml,"Ksh 2,800"
The snow grouse,                      750 ml,"Ksh 2,800"
Tullamore dew,                      750 ml,"Ksh 2,899"
Bushmills red bush,                      750 ml,"Ksh 2,999"
Lauders blended scotch whisky,                      700 ml,"Ksh 2,999"
Bells blended scotch whisky,                      750 ml,"Ksh 2,999"
Grants signature,                      750 ml,"Ksh 2,999"
Scots Gold Black Label,                      750 ml,"Ksh 2,999"
Grants,                      1 litre,"Ksh 2,999"
Glen silvers,                      1 litre,"Ksh 2,999"
Ballantines,                      1 litre,"Ksh 2,999"
Early Times Kentucky Straight  Bourbon Whisky,                      750 ml,"Ksh 2,999"
Scottish Leader Original Whisky,                      750 ml,"Ksh 2,999"
Ballantines Gift Pack,                      750 ml,"Ksh 3,000"
J&B Honey,                      750 ml,"Ksh 3,199"
Paddy Irish Whiskey,                      750 ml,"Ksh 3,199"
Jim beam,                      1 litre,"Ksh 3,199"
Lombard Gold Label,                      1 litre,"Ksh 3,299"
Jameson,                      1 litre,"Ksh 3,499"
Seagrams 100 piper,                      1 litre,"Ksh 3,499"
Bells blended scotch whisky,                      1 litre,"Ksh 3,499"
Scots Gold Black Label,                      1 litre,"Ksh 3,499"
Tullamore dew,                      1 litre,"Ksh 3,499"
Marshall's bourbon whiskey,                      700 ml,"Ksh 3,499"
White horse blended scotch whisky,                      750 ml,"Ksh 3,499"
Canadian club,                      1 litre,"Ksh 3,500"
Jim beam apple (liqueur),                      750 ml,"Ksh 3,500"
Wild turkey american honey,                      750 ml,"Ksh 3,500"
Jim beam honey (liqueur),                      750 ml,"Ksh 3,500"
Glen grant,                      750 ml,"Ksh 3,500"
Harrington,                      750 ml,"Ksh 3,500"
Jim beam red stag (liqueur),                      750 ml,"Ksh 3,500"
Paddy Irish Whiskey,                      1 litre,"Ksh 3,999"
Tullamore dew cider cask,                      500 ml,"Ksh 3,999"
Tullamore dew collectors edition,                      700 ml,"Ksh 3,999"
The famous grouse bourbon cask,                      1 litre,"Ksh 3,999"
Grants rum cask finish,                      750 ml,"Ksh 3,999"
Grants distillery edition,                      750 ml,"Ksh 3,999"
Cutty black,                      750 ml,"Ksh 3,999"
The famous grouse toasted cask,                      1 litre,"Ksh 3,999"
Grants select reserve,                      750 ml,"Ksh 4,000"
Benchmark bourbon whiskey,                      700 ml,"Ksh 4,000"
Grants 8 years,                      1 litre,"Ksh 4,000"
Jim beam honey (liqueur),                      1 litre,"Ksh 4,000"
Scots Gold 8 Years,                      750 ml,"Ksh 4,000"
Jim beam red stag (liqueur),                      1 litre,"Ksh 4,000"
