Name,Price,Liquor Type
RON ZACAPA SOLERA 1LTR(40%),"KSh10,000.00",Rum
RON ZACAPA SOLERA 750ML(40%),"KSh8,300.00",Rum
BUMBU XO 700ML(35%),"KSh7,250.00",Rum
BUMBU ORIGINAL RUM 700ML(35%),"KSh5,400.00",Rum
GOLD OF MAURITIUS 750ML(40%),"KSh3,200.00",Rum
MALIBU 1 LITRE(21%),"KSh3,130.00",Rum
MYERS RUM 1 LITRE(40%),"KSh2,750.00",Rum
CAPTAIN MORGAN DARK RUM 1LTR(40%),"KSh2,700.00",Rum
CAPTAIN MORGAN SPICED GOLD 1 LTR(35%),"KSh2,700.00",Rum
BACARDI SUPERIOR 1 LITRE(40%),"KSh2,650.00",Rum
HAVANA CLUB ANEJO 750ML(3YRS)(40%),"KSh2,470.00",Rum
MYERS RUM 750ML(40%),"KSh2,370.00",Rum
BACARDI SUPERIOR 750ML(40%),"KSh2,300.00",Rum
BACARDI SUPERIOR GOLD 1 LITRE(40%),"KSh2,250.00",Rum
CAPTAIN MORGAN DARK RUM 750ML(40%),"KSh2,200.00",Rum
CAPTAIN MORGAN SPICED GOLD 750ML (35%),"KSh2,150.00",Rum
BACARDI SPICED RUM 700ML(35%),"KSh2,000.00",Rum
MALIBU 700ML(21%),"KSh2,000.00",Rum
BACARDI SUPERIOR GOLD 750ML(40%),"KSh1,950.00",Rum
BACARDI OAKHEART SPICED RUM 700ML(35%),"KSh1,600.00",Rum
CAPTAIN MORGAN GOLD 750ML(37.5%),"KSh1,150.00",Rum
KING ROBERT II DARK RUM 750ML(43%),"KSh1,100.00",Rum
OLD MONK RUM 750ML(42%),"KSh1,100.00",Rum
KING ROBERT II WHITE RUM 750ML(43%),"KSh1,050.00",Rum
OLD NICK CARIBBEAN WHITE RUM 700ML(37.5%),KSh900.00,Rum
KENYA CANE 750ML(40%),KSh800.00,Rum
NEW GROVE SILVER RUM 750ML(37.5%),KSh800.00,Rum
NEW GROVE SPICED RUM 750ML(37.5%),KSh800.00,Rum
KENYA CANE CITRUS 750ML(40%),KSh800.00,Rum
KENYA CANE PINEAPPLE 750ML(40%),KSh800.00,Rum
OLD NICK CARIBBEAN GOLD RUM 700ML(37.5%),KSh750.00,Rum
KENYA CANE 350ML(40%),KSh440.00,Rum
CAPTAIN MORGAN GOLD 250ML(37.5%),KSh420.00,Rum
