Name,Price,Liquor Type
PATRON ANEJO 750ML(40%),"KSh10,400.00",Tequila
DON JULIO ANEJO 750ML(40%),"KSh9,800.00",Tequila
DON JULIO REPOSADO 750ML(38%),"KSh7,900.00",Tequila
PATRON REPOSADO 750ML(40%),"KSh7,600.00",Tequila
DON JULIO BLANCO 750ML(38%),"KSh7,200.00",Tequila
JOSE CUERVO GOLD 1LTR(40%),"KSh3,600.00",Tequila
JOSE CUERVO SILVER 1LTR(38%),"KSh3,500.00",Tequila
JOSE CUERVO GOLD 750ML(40%),"KSh3,200.00",Tequila
JOSE CUERVO SILVER 750ML(38%),"KSh3,200.00",Tequila
CAMINO GOLD 750ML(40%),"KSh2,900.00",Tequila
CAMINO CLEAR 750ML(40%),"KSh2,650.00",Tequila
OLMECA TEQUILA GOLD 750ML(38%),"KSh2,600.00",Tequila
OLMECA TEQUILA BLANCO 750ML(38%),"KSh2,600.00",Tequila
SAUZA GOLD TEQUILA 750ML(40%),"KSh2,250.00",Tequila
