Name,Price,Liquor Type
BELVEDERE PURE NAKED VODKA 1 LITRE(40%),"KSh7,500.00",Vodka
GREY GOOSE 1LTR(40%),"KSh6,550.00",Vodka
CIROC 1 LITRE(40%),"KSh6,050.00",Vodka
GREY GOOSE 750ML(40%),"KSh5,750.00",Vodka
CIROC BLUE STEEL 750ML(40%),"KSh5,500.00",Vodka
CIROC PINEAPPLE 750ML(37.5%),"KSh5,500.00",Vodka
CIROC RED BERRY 750ML(37.5%),"KSh5,500.00",Vodka
BELVEDERE PURE NAKED VODKA 700ML(40%),"KSh5,400.00",Vodka
CIROC COCONUT 750ML(40%),"KSh5,200.00",Vodka
KETEL ONE VODKA 1LTR(40%),"KSh4,050.00",Vodka
KETEL ONE VODKA 750ML(40%),"KSh3,750.00",Vodka
ABSOLUT VODKA 1LTR(40%),"KSh3,070.00",Vodka
KROVA VODKA 700ML(42%),"KSh3,200.00",Vodka
RADA 700ML(40%),"KSh2,800.00",Vodka
ABSOLUT VANILLA 750ML(40%),"KSh2,800.00",Vodka
ABSOLUT CITRON 750ML(40%),"KSh2,550.00",Vodka
STOLICHNAYA VODKA GOLD 1LTR(40%),"KSh2,250.00",Vodka
ABSOLUT VODKA 750ML(40%),"KSh2,200.00",Vodka
BARDINET TRIPLE SEC 700ML(34%),"KSh2,200.00",Vodka
ABSOLUT PEPPAR 750ML(40%),"KSh2,000.00",Vodka
ABSOLUT APEACH 750ML(40%),"KSh2,000.00",Vodka
ABSOLUT RASPBERRI 750ML(40%),"KSh2,000.00",Vodka
ABSOLUT RUBY RED 750ML(40%),"KSh2,000.00",Vodka
ABSOLUT KURANT 750ML(40%),"KSh2,000.00",Vodka
SMIRNOFF VODKA RED 1 LITRE(37.5%),"KSh1,980.00",Vodka
CRUZ VINTAGE BLACK VODKA 750ML(40%),"KSh1,920.00",Vodka
SMIRNOFF BLUE 750ML(50%),"KSh1,850.00",Vodka
SMIRNOFF BLUE 1 LITRE(50%),"KSh1,850.00",Vodka
SMIRNOFF VANILLA 700 ML(35%),"KSh1,800.00",Vodka
SMIRNOFF EXPRESSO 700 ML(35%),"KSh1,800.00",Vodka
SMIRNOFF GOLD 7O0ML(37.5%),"KSh1,800.00",Vodka
SMIRNOFF BLUEBERRY 1LTR(35%),"KSh1,750.00",Vodka
SOBIESKI ESTATE VODKA 1LTR(40%),"KSh1,700.00",Vodka
MOJO VODKA 750ML(0%),"KSh1,600.00",Vodka
STOLICHNAYA 1LTR(40%),"KSh1,600.00",Vodka
KOZAK 700ML(40%),"KSh1,630.00",Vodka
LELESHWA VODKA 750ML (38%),"KSh1,560.00",Vodka
SKKY GRAPE 750ML(35%),"KSh1,550.00",Vodka
SKYY VODKA 750ML (40%),"KSh1,550.00",Vodka
SMIRNOFF VODKA RED 750ML(37.5%),"KSh1,850.00",Vodka
NEW AMSTERDAM VODKA 750ML(40%),"KSh1,500.00",Vodka
FIRST GUILD 700ML(40%),"KSh1,550.00",Vodka
STOLICHNAYA CITROS 750ML(37.5%),"KSh1,400.00",Vodka
STOLICHNAYA STOLI HOT 750ML(37.5%),"KSh1,400.00",Vodka
STOLICHNAYA 750ML(40%),"KSh1,400.00",Vodka
STOLICHNAYA STOLI VANIL 750ML(37.5%),"KSh1,400.00",Vodka
FLIRT VODKA GREEN APPLE 1L(37.5%),"KSh1,300.00",Vodka
FLIRT VODKA ORANGE 1LTR(37.5%),"KSh1,300.00",Vodka
RUSSIAN BEAR VODKA 750ML(35%),"KSh1,100.00",Vodka
FLIRT VODKA GREEN APPLE 750ML(37.5%),"KSh1,000.00",Vodka
FLIRT VODKA ORANGE 750ML(37.5%),"KSh1,000.00",Vodka
KONYAGI 750ML(35%),KSh960.00,Vodka
CLUBMAN MINT PUNCH 750ML(20%),KSh880.00,Vodka
JELZIN CITRON 700ML(37.5%),KSh900.00,Vodka
KGB LIQUEUR CARAMEL 750ML(37.5%),KSh850.00,Vodka
GENERAL MEAKINS 750ML(40%),KSh820.00,Vodka
CELSIUS VODKA 700ML(40%),KSh800.00,Vodka
NIGHT TRAIN 750ML(17.5%),KSh800.00,Vodka
360 GLAZED DONUT VODKA 750ML(35%),KSh800.00,Vodka
MISTRAL FUJI APPLE 750ML(40%),KSh780.00,Vodka
KIBAO VODKA 750ML(40%),KSh770.00,Vodka
BEST VODKA 750ML(40%),KSh850.00,Vodka
KGB CLASSIC VODKA 750ML(37.5%),KSh750.00,Vodka
CHROME VODKA 750ML(40%),KSh750.00,Vodka
SMIRNOFF RED 350ML(37.5%),KSh720.00,Vodka
SUPREME VODKA 750ML(40%),KSh700.00,Vodka
ORIJIN 750ML(6%),KSh700.00,Vodka
WHITE PEARL PINK 750ML(40%),KSh690.00,Vodka
TRIPLE ACE VODKA 750ML(40%),KSh680.00,Vodka
WHITE PEARL CLEAR 750ML(40%),KSh670.00,Vodka
KONYAGI 500ML(35%),KSh650.00,Vodka
AQULA VODKA 500ML(40%),KSh650.00,Vodka
CARIBIA CANE 750ML(37.5%),KSh600.00,Vodka
BLUE ICE VODKA 750ML(40%),KSh500.00,Vodka
FLIRT VODKA ORANGE 350ML(37.5%),KSh500.00,Vodka
KIBAO 350ML(40%),KSh400.00,Vodka
CHROME VODKA 250ML(40%),KSh280.00,Vodka
CHROME LEMON FLAVOURED VODKA 250ML(40%),KSh280.00,Vodka
