Name,Price,Liquor Type
SIMONSIG FRANS MALAN (COMPLEX CAPE STYLE BLEND) DRY RED 750ML(14%),"KSh6,750.00",Wine
NAPA CELLARS CABERNET SAUVIGNON 750ML (14.2%),"KSh6,400.00",Wine
NAPA CELLARS CHARDONNY 750ML (14%),"KSh6,400.00",Wine
SIMONSIG TIARA DRY RED 750ML(14.5%),"KSh6,400.00",Wine
GRAHAMS FINE 10YEARS TAWNY PORT 750ML(20%),"KSh6,200.00",Wine
BOTTEGA GOLD PROSECCO 750ML (11%),"KSh6,000.00",Wine
BOTTEGA ROSE GOLD 750ML (11.5%),"KSh6,000.00",Wine
BOTTEGA WHITE GOLD PROSECCO 750ML (11%),"KSh6,000.00",Wine
SIMONSIG REDHILL PINOTAGE – DRY RED 750ML(14%),"KSh5,900.00",Wine
RUPERT & ROTHSCHILD CLASSIQUE 750ML(13.5%),"KSh5,850.00",Wine
LUC BELAIRE GOLD 750ML(12.5%),"KSh5,800.00",Wine
LUC BELAIRE GOLD FANTOME SPARKLING 750ML(12.5%),"KSh5,800.00",Wine
LUC BELAIRE RARE LUXE 750ML(12.5%),"KSh5,650.00",Wine
DROSTDY HOF GRAND CRU DRY WHITE 5 LTIRES(11.5%),"KSh5,300.00",Wine
DROSTDY HOF CLARET SELECT DRY RED 5LTRS (11.5%),"KSh5,300.00",Wine
LUC BELAIRE LUXE ROSE 750ML(12.5%),"KSh5,100.00",Wine
LUC BELAIRE BRUT 750ML(12.5%),"KSh5,100.00",Wine
LUC BELAIRE ROSE 750ML(12.5%),"KSh5,500.00",Wine
CELLAR CASK JHB NATURAL SWEET RED 5 LITRES(11%),"KSh5,050.00",Wine
BUY 2 CELLAR CASK JHB NATURAL SWEET WHITE 5LTRS FOR THE PRICE OF 1 (11%),"KSh5,000.00",Wine
CELLAR CASK JHB NATURAL SWEET WHITE 5LTRS(11%),"KSh5,000.00",Wine
ALTO CABERNET SAUVIGNON 750ML(14.5%),"KSh5,000.00",Wine
BAROLO DOC MORANDO 750ML(5.5%),"KSh4,950.00",Wine
NAMAQUA DRY RED 5LTRS(14%),"KSh4,850.00",Wine
NAMAQUA JOHANNISBERGER SWEET RED 5LTRS(12.5%),"KSh4,800.00",Wine
MOUTON CADET RESERVE SAINT-EMILION 750ML(13.5%),"KSh4,750.00",Wine
BUY 4TH STREET SWEET RED 5LTS GET A FREE HAT & T-SHIRT (8%),"KSh4,550.00",Wine
4TH STREET ROSE 5LTRS(8%),"KSh4,550.00",Wine
4TH STREET SWEET WHITE 5 LITRES(8%),"KSh4,550.00",Wine
4TH STREET SWEET RED 5LTS(8%),"KSh4,550.00",Wine
SIMONSIG KAAPSE VONKEL SATIN NECTAR ROSE 750ML(12.5%),"KSh4,500.00",Wine
SIMONSIG KAAPSE VONKEL SATIN NECTAR 750ML(12.5%),"KSh4,500.00",Wine
SIMONSIG PINOTAGE DRY RED 750ML(14%),"KSh4,500.00",Wine
SIMONSIG KAAPSE VONKEL BRUT DRY ROSE 750ML(12%),"KSh4,500.00",Wine
SIMONSIG LANGBULT STEEN CHENIN BLANC 750ML(13.5%),"KSh4,450.00",Wine
SIMONSIG KAAPSE VONKEL BRUT DRY WHITE 750ML(12.5%),"KSh4,450.00",Wine
NAMAQUA JOHANNISBERGER SWEET WHITE 5LTRS(10.5%),"KSh4,400.00",Wine
NAMAQUA DRY WHITE 5LTRS(12.5%),"KSh4,400.00",Wine
