Listing,Company,Location,Job Type,Post Date,Link,Experience,Soft Skills,Qualifications
Pessoa Supervisora de Mídia - Bebidas,WPP Media Services,"Remote:Brazil, Delaware (USA)",Full remote,2 days ago,https://jobgether.com/offer/666bc0727f4fdab8dd6d1327-pessoa-supervisora-de-midia---bebidas,,"Great leadership and teamwork, Proactive mindset"," Qualifications:  Bachelor's degree, Experience in media leadership. "
Analista de Folha de Pagamento Júnior,Contabilizei,"Remote:Brazil, Delaware (USA)",Full remote,3 days ago,https://jobgether.com/offer/666b73447f4fdab8dd6ac53a-analista-de-folha-de-pagamento-junior,,"Great team player, Excellent communication and collaboration abilities"," Qualifications:  Bachelor's degree or in progress, Knowledge of labor calculation, Familiarity with government websites/tools related to labor relations, Understanding of current declaration systems: SEFIP, DIRF, RAIS, DCTF, WebE-Social, Basic knowledge in dominioAD system. "
Desenvolvedor(a) Java Pleno,Lyncas,Remote:Brazil,Full remote,3 days ago,https://jobgether.com/offer/666b73447f4fdab8dd6ac536-desenvolvedor-a-java-pleno,,"Team player, Proactive, good communicator, committed"," Qualifications:  Java 8, Java 11, JAVA 17, Experience in microservices, Spring Boot, Quarkus, SQL Server, REST/RESTFUL. "
Product Manager Especialista I - Internacional,Grupo Boticário,Remote:Brazil,Full remote,3 days ago,https://jobgether.com/offer/666b73447f4fdab8dd6ac530-product-manager-especialista-i---internacional,,"Professional with excellent interpersonal skills., Clear and effective communicator. Proactive problem-solver., Team player partnering with stakeholders. Ability to extract value from Product Trio strength."," Qualifications:  Background in digital product payments and checkout., Experience with analytical diagnostics and data-driven product execution., Advanced knowledge of Product Analytics tools., Experience in conducting experiments for hypothesis validations., Excellent interpersonal skills and clear communication. Pragmatic and proactive problem-solving mindset.. "
DevOps Especialista I - Vaga Afirmativa para Talentos Diversos,Grupo Boticário,Remote:Brazil,Full remote,3 days ago,https://jobgether.com/offer/666b73447f4fdab8dd6ac529-devops-especialista-i---vaga-afirmativa-para-talentos-diversos,,"Excellent communication and teamwork, Proactive mindset and problem-solving abilities"," Qualifications:  Proven experience in DevOps or related role, Advanced knowledge of GitOps and Terraform infrastructure as code, Experience with AWS services, Experience in CI/CD pipelines and Docker application containerization, Solid skills in Kubernetes clusters administration and operation. "
DevOps Especialista II,Grupo Boticário,Remote:Brazil,Full remote,3 days ago,https://jobgether.com/offer/666b73447f4fdab8dd6ac522-devops-especialista-ii,Mid-level (2-5 years),"Proactive problem solver, Excellent teamwork skills"," Qualifications:  Linux server administration, Advanced cloud experience (AWS, GCP), Experience in Kubernetes, DevOps practices, Familiarity with GitOps, K8s. "
Analista de Segurança da Informação SR - Blue Team,Ewally,"Remote:Suriname, Brazil",Full remote,3 days ago,https://jobgether.com/offer/666b73437f4fdab8dd6ac51a-analista-de-seguranca-da-informacao-sr---blue-team,Mid-level (2-5 years),"Excellent communication skills, Responsible with deadlines and delivery quality, Great cross-functional relationship"," Qualifications:  Advanced knowledge in AWS cloud security, Intermediate knowledge in Google Workspace, Practical experience in security architectures. "
"Team Lead, Client Service & Support",Mitacs,79 - 118KRemote:Canada,Full remote,3 days ago,https://jobgether.com/offer/666b882f7f4fdab8dd6b5db1-team-lead-client-service-support,Mid-level (2-5 years),"Leadership and communication skills, Results-driven with proactive problem solving, Proven ability to work collaboratively, Analytical thinking for process improvements, Adaptable and agile in a fast-paced environment, Empowered coaching and mentoring approach"," Qualifications:  2+ years managing a team, 4+ years working in client service, Proficient in Microsoft Office tools, Strong organizational and time management skills, Fully bilingual English and French preferred. "
Solutions Engineer,Button Inc.,138 - 197KRemote:United States,Full remote,3 days ago,https://jobgether.com/offer/666b882e7f4fdab8dd6b5d4d-solutions-engineer,,"Team player, Proactive decision-maker and communicator"," Qualifications:  3+ years technical solutions experience, Experience in Node.js, Go, or Python. "
SIU Investigator,Delta Group,58 - 77KRemote:Oregon (USA),Full remote,3 days ago,https://jobgether.com/offer/666b882d7f4fdab8dd6b5cfd-siu-investigator,Senior (5-10 years),"Attention to detail, Excellent communication skills, Independence and time-management, Analyzing inconsistencies for fraud, Building and maintaining relationships"," Qualifications:  Strong investigative skills, 5-10 years experience in claims. "
