Product,Price
"Lenovo IdeaPad Gaming 3 Laptop - 11th Gen Intel Core i7-11370H, 16GB RAM, 1TB HDD + 256GB SSD, NVIDIA GTX 1650 4GB GDDR6 Graphics, 15.6"" FHD 1920x1080 IPS 120Hz, 4-Zone RGB Backlit Keyboard, Black - 82K10051UE",153999.00
"Lenovo V15 G2  Laptop (82KB001UUE) - 15.6"" Inch Display, 11th Generation Core i5, 4GB RAM/1TB Hard Disk Drive",61000.00
"HP Notebook 15-ra008nia Laptop 15.6"" - Intel Celeron N3060 - 500GB HDD - 4GB RAM ,Free DOS (3QT49EA)",39999.00
"HP ProBook 430 G8 Notebook Laptop, Intel Core i7-1165G7, 8GB RAM, 512GB SSD, 13.3"" HD Display, Windows 10 pro - 2X7T3EA",125999.00
"ASUS X540M - 15.6"" - Intel Celeron- 500GB HDD - 4GB RAM - DOS",32500.00
"Apple MacBook Pro M1 Laptop (MK183B/A) - 512GB SSD, 16GB RAM, 1-Year Warranty",359999.00
"Apple MacBook Pro 14 M1Pro Laptop (MKGT3B/A) - 1TB SSD, 16GB  RAM, 14"" Inch FHD Display, 1-Year Warranty",334999.00
"Lenovo Legion Slim 7 Gaming Laptop (82HS00JEAU) - 15.6 Inch Display, 11th Generation  AMD Ryzen 7, 16GB RAM/512 GB Solid State Drive",147999.00
"Apple Macbook Pro (Z11B0002R)- 13.3"" Inch Display,  Apple M1 Chip Processor, 16GB RAM/512GB SSD Memory Laptop",229999.00
"HP 250 G7 Notebook PC Laptop Core i5, 8GB RAM, 1 TB HDD(6HL20EA)",58799.00
"Lenovo IdeaPad Flex 5 Laptop (82HS00GTUE) - 14"" Inch Display, 11th Generation Intel Core i7, 8GB RAM/512GB Solid State Drive",118999.00
"HP NoteBook Laptop 15 - 15-BS151nia (3XY28EA) - Intel Core i3 - 4GB RAM - 500GB HDD - 15.6"" - Free DOS",51500.00
HP Pavilion 15-er0069nia x360 Laptop Core i7 1165G7 16GB RAM 512GB SSD window 10 15.6',129999.00
"Lenovo ideaPad 3 151GL05 laptop (82H700N2UE) - 14″ Inch Display, Intel Core i7, 8GB RAM/1TB Hard Disk Drive",77000.00
"ASUS E410  Laptop-Intel Celeron N4020, 4GB, 128GB HDD 14-inch HD LED Windows 10 (E410MA-BV025T)",36999.00
Asus X543U Intel Core i5-8250U Processor 15.6″ HD Display 8GB DDR4 RAM 1TB(1000GB) ROM HDD 2GB Dedicated Graphics Windows 10 1 Year Warranty,59999.00
"Lenovo ThinkPad E15 Gen 4 Laptop (21E6008UUE) - Intel Core i5, 12th Gen(1235U), 512GB SSD, 8GB RAM, 15.6""Inch FHD Display, 2-Years Warranty",101999.00
"Lenovo ThinkPad E14 Gen 4 Laptop (21E3009BUE) - Intel Core i7, 12th Gen(1255U), 512GB SSD, 8GB RAM, 14""Inch FHD Display, 2-Years Warranty",129999.00
"Lenovo ThinkPad E15 Gen 4 Laptop (21E60083UE) - Intel Core i7, 12th Gen(1255U), 512GB SSD, 8GB RAM, 15.6""Inch FHD Display, 2-Years Warranty",120999.00
"Lenovo ThinkPad T14s Gen 2 Laptop (20WNS3R400) - Intel Core i7, 11th Gen(1165G7), 512GB SSD, 16GB RAM, 14""Inch FHD Display, Windows 10 Pro, 3-Years Warranty",213999.00
"Lenovo ThinkPad T14s Gen 2 Laptop (20WM0088UE) - Intel Core i7, 11th Gen(1165G7), 1TB SSD, 16GB RAM, 14""Inch FHD Display, Windows 10 Pro, 3-Years Warranty",234999.00
"Lenovo ThinkPad X13 Gen 2 Laptop (20WK008LUE) - Intel Core i5, 11th Gen(1135G7), 512GB SSD, 8GB RAM, 13.3""Inch Display, Windows 10 Pro, 3-Years Warranty",192500.00
"Lenovo ThinkPad X13 Gen 1 Laptop (20T20024US) - Intel Core i7, 10th Gen(10510U), 512GB SSD, 8GB RAM, 13.3"" FHD Touch Screen Display, Windows 10 Pro, 3-Years Warranty",169999.00
"Lenovo ThinkBook TB 15 Laptop (20RWA05LUE) - Intel Core i7, 10th Gen(10510U), 1TB Hard Disk, 8GB RAM, 15.6""Inch FHD Display, 1-Year Warranty",84999.00
